projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
44035508,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:46124e2558c746c8b6d6855a3c148618ddbd5be6/raw/,0,0,https://pypi.org/project/cx-Oracle/
42803583,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a3c9ccacddb2c316dbd1287921e6ef530c23fb96/raw/,2,14,https://github.com/madmaze/pytesseract
43372599,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:237321762881648b3f923bf174ab69e2b8ba241b/raw/,3,4,https://github.com/lyst/lightfm
44020085,0,TRUE,null,6,79,https://github.com/pytorch/ignite
44997950,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:e29df5c07d580655edd017397d8d9c127438d4b3/raw/,3,201,https://github.com/cool-RR/PySnooper
45663825,4,TRUE,null,24,709,https://github.com/apache/airflow
40993487,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:9872d533bbd69c7f45c3ea2b7cb8527d1b68e45e/raw/,1,1,https://github.com/LazoCoder/Pokemon-Terminal
43869922,0,TRUE,null,9,431,https://github.com/conan-io/conan
45684758,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:2f5b5c44aca284c85d9c5c7d971d1738318e3794/raw/,0,0,https://pypi.org/project/torch/
41194653,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:c4dbd1c6928fef15523d9b46df2c8e42623de035/raw/,0,0,deb://Debian/packages/tryton-modules-project-invoice
43680284,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:d8516939eb0faad9543f24dad389e1e7fe5f2dc8/raw/,0,0,https://github.com/zq1997/deepin-wine
39963699,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:7496af040135cc4460974d8b143a6d90a32a9afb/raw/,2,51,https://github.com/timesler/facenet-pytorch
40338514,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a5257f7efe66c3b2e4872a2927b01117a45412b8/raw/,4,78,https://github.com/sebastianruder/NLP-progress
45633684,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:1cea29cd3ced1ec8863d721d73d3fd19d4814015/raw/,3,153,https://github.com/lancopku/pkuseg-python
40802598,5,TRUE,null,0,0,https://github.com/pytorch/captum
45483887,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:1a1e8e3b23e5ee3ed0c05b227aa4335192b585d5/raw/,1,12,https://gitlab.com/divisadero/cloud-functions-python-emulator.git
42639139,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:c527cd00fee121bac1c29ea0a1182bf8b7e6b7a7/raw/,4,610,https://github.com/ultralytics/yolov3
45608978,3,TRUE,null,13,103,https://gitlab.com/pycqa/flake8.git
42614414,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:bb90ecff9d71fb7759e2514d36c3a73b3bd9aef1/raw/,1,4,https://github.com/tartley/colorama
42057904,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:d8e23f6b766bce8c7c8b1c6827da1f66581adcbc/raw/,1,1,https://gitlab.com/flashcode/gitchart.git
43614998,1,TRUE,null,0,0,https://pypi.org/project/knack/
45053900,1,FALSE,null,0,0,deb://Debian/packages/django-testproject
45417797,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:5587f617a65e05855ec89732ee9ad13e29d7994c/raw/,2,23,https://github.com/wistbean/learn_python3_spider
43423300,1,TRUE,null,9,49,https://github.com/benoitc/gunicorn
44757551,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:152a68fc1f1d361a4d6bcb653c9b404de148834c/raw/,4,253,https://github.com/0xHJK/music-dl
45642127,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a110eae82a50f7e278ac48d480b099298806139f/raw/,0,0,deb://Debian/packages/angrydd
35765213,1,TRUE,null,4,19,https://github.com/dabeaz/curio
45689366,0,TRUE,null,5,187,https://gitlab.com/lu-ci/sigma/apex-sigma.git
43466263,1,TRUE,null,0,0,deb://Debian/packages/python-tosca-parser
44414678,1,TRUE,null,0,0,deb://Debian/packages/python-gear
43349419,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:641eac6e21581a9f6466c31d44640eb259ff58d6/raw/,3,180,https://github.com/dbolya/yolact
43463393,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:8705566f45d96a473d27a6b38ac2108592220fa3/raw/,0,0,https://github.com/taki0112/UGATIT
36741872,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:51ae202f5f396c2daf3c9648ed3ece3b823c9001/raw/,5,29,https://github.com/xingyizhou/CenterNet
43668850,39,TRUE,null,15,212,https://github.com/microsoft/nlp-recipes
44533386,7,TRUE,null,16,74,https://github.com/psf/requests
40413069,1,TRUE,null,7,350,https://github.com/cloud-custodian/cloud-custodian
43752295,0,TRUE,null,8,441,https://github.com/facebookresearch/ParlAI
45571546,1,TRUE,null,0,0,deb://Debian/packages/python-cliff
45053002,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:4ac858838b1f3fbb409d86534f52e53aa590f173/raw/,0,0,deb://Debian/packages/kazam
41321444,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:222121ed8cea339f3cd18697814f3b514d27d851/raw/,7,151,https://gitlab.com/fumail/fuglu.git
44190671,1,TRUE,null,5,55,https://github.com/pallets/flask-sqlalchemy
44739837,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:39561dd92cb3fbf3f525582b32fa566602417074/raw/,0,0,https://pypi.org/project/google-cloud-error-reporting/
43837324,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:175403d4750aee1e7cbc306410bf47b08e86a654/raw/,1,25,https://gitlab.com/zef1r/mockify.git
